date,pm25,pm25_n_stations
2024-01-19,8.73570423270163,2269
2024-01-20,6.780971987856389,1894
2024-01-21,6.749481983545648,1884
2024-01-22,7.9927118822971055,2107
2024-01-23,9.134269969505784,1902
2024-01-24,8.452740265066666,1875
2024-01-25,6.8426715401624545,2216
2024-01-26,5.5478011347780125,1892
2024-01-27,5.6229661788747345,1884
2024-01-28,4.936858867264998,2117
2024-01-29,5.836814538133334,1875
2024-01-30,6.70397068644958,1904
2024-01-31,6.928146100440529,2270
2024-02-01,7.56755062993763,1924
2024-02-02,7.117188733090531,1922
2024-02-03,6.851460107276119,2144
2024-02-04,6.590084502914679,1887
2024-02-05,5.964616705385428,1894
2024-02-06,7.094530465716829,2246
2024-02-07,7.674622899843505,1917
2024-02-08,7.594618933681462,1915
2024-02-09,7.545450460111317,2156
2024-02-10,7.7626876811746195,1907
2024-02-11,6.269880293901157,1902
2024-02-12,6.789890655293089,2286
2024-02-13,6.110211699165798,1918
2024-02-14,5.6501032513089005,1910
2024-02-15,5.928469563745944,2157
2024-02-16,5.985179258233141,1913
2024-02-17,5.5653947537978,1909
2024-02-18,5.477251185218165,2246
2024-02-19,6.782308728134878,1898
2024-02-20,8.284961057894737,1900
2024-02-21,9.13378264634714,2149
2024-02-22,10.281533236162362,1897
2024-02-23,7.905951353002611,1915
2024-02-24,5.789429122120817,2301
2024-02-25,6.340241152872957,1897
2024-02-26,8.635540493690852,1902
2024-02-27,9.836576162325581,2150
2024-02-28,6.486628523408732,1901
2024-02-29,4.681317572708114,1898
2024-03-01,6.1030138735529835,2246
2024-03-02,7.034030478740157,1905
2024-03-03,6.145868020602219,1893
2024-03-04,5.899662199812383,2132
2024-03-05,5.4090856731681605,1897
2024-03-06,5.636881199154781,1893
2024-03-07,4.955152644580957,2279
2024-03-08,5.3067562426004224,1892
2024-03-09,4.380577252648305,1888
2024-03-10,3.582883847713343,2121
2024-03-11,4.249325378723404,1880
2024-03-12,6.0155711330858965,1886
2024-03-13,8.67094876114082,2244
2024-03-14,9.114966774655354,1886
2024-03-15,6.892909737739872,1876
2024-03-16,5.337319226799242,2112
2024-03-17,4.375740297441364,1876
2024-03-18,4.353202368589743,1872
2024-03-19,5.246824405656209,2263
2024-03-20,6.238293402452025,1876
2024-03-21,6.188627828510183,1866
2024-03-22,7.283367083017078,2108
2024-03-23,5.986151064136825,1871
2024-03-24,5.485663519913886,1858
2024-03-25,5.5979446366501575,2221
2024-03-26,4.888645357788411,1881
2024-03-27,5.197722476645436,1884
2024-03-28,6.207526640486209,2139
2024-03-29,6.029265894154818,1899
2024-03-30,6.477000680783483,1889
2024-03-31,6.9688522537777775,2250
2024-04-01,7.616170051009565,1882
2024-04-02,6.23086519554849,1887
2024-04-03,3.696560762552792,2131
2024-04-04,3.6459178641909813,1885
2024-04-05,4.31196799841605,1894
2024-04-06,4.420028624326751,2228
2024-04-07,4.919345435638298,1880
2024-04-08,6.460884372611464,1884
2024-04-09,7.0982390548266165,2134
2024-04-10,6.807090390089615,1897
2024-04-11,5.949572911052631,1900
2024-04-12,4.772399058643327,2285
2024-04-13,4.695181719621252,1901
2024-04-14,5.445260336675462,1895
2024-04-15,6.530347207906977,2150
2024-04-16,6.609207424843424,1916
2024-04-17,6.991399529166667,1920
2024-04-18,6.586607768788683,2262
2024-04-19,6.2936924929724105,1921
2024-04-20,5.740160984301413,1911
2024-04-21,4.864707549001393,2153
2024-04-22,5.880810417714885,1908
2024-04-23,6.07445350522466,1914
2024-04-24,6.2389429276688455,2295
2024-04-25,6.390429768426555,1913
2024-04-26,6.530490292452829,1908
2024-04-27,7.0640898516968855,2151
2024-04-28,6.691305448785639,1894
